ID	Description	geneID	status	celltype	Tissue	Dataset	Dataset name for plot
GO:0016042	lipid catabolic process	APOE/APOC1/CYP27A1/ASAH1/LIPA/PPT1/PLBD1/HSD17B11/HEXB/GPCPD1	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0010887	negative regulation of cholesterol storage	TREM2/PPARG	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0046890	regulation of lipid biosynthetic process	APOE/APOC1/CD74/TSPO/FABP5/ASAH1/DAB2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0140042	lipid droplet formation	SMIM22/BSCL2/RNF213	Up	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	APOC1/APOE/CES1/TREM2/TSPO/LRP1/MSR1/NPC2/LIPA	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0010878	cholesterol storage	CES1/TREM2/MSR1/NPC2/LIPA	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0033344	cholesterol efflux	APOC1/APOE/CES1/TREM2/LRP1/NPC2/LIPA	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0032374	regulation of cholesterol transport	APOC1/APOE/CES1/TREM2/TSPO/LRP1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0010875	positive regulation of cholesterol efflux	APOE/CES1/TREM2/LRP1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	APOC1/APOE/FABP4/RETN/CES1/TREM2/RBP4/TSPO/LRP1/MSR1/PSAP/NPC2/LIPA	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0019915	lipid storage	APOE/CES1/TREM2/MSR1/NPC2/LIPA	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:1905952	regulation of lipid localization	APOC1/APOE/RETN/CES1/TREM2/TSPO/LRP1/MSR1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0032376	positive regulation of cholesterol transport	APOE/CES1/TREM2/LRP1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	APOC1/APOE/RETN/CES1/TREM2/TSPO/LRP1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:1905954	positive regulation of lipid localization	APOE/RETN/CES1/TREM2/LRP1/MSR1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0010885	regulation of cholesterol storage	CES1/TREM2/MSR1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0055088	lipid homeostasis	APOE/FABP4/CES1/TREM2/TSPO/NPC2/LIPA	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0032370	positive regulation of lipid transport	APOE/RETN/CES1/TREM2/LRP1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0010874	regulation of cholesterol efflux	APOE/CES1/TREM2/LRP1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0008203	cholesterol metabolic process	APOC1/APOE/CES1/CYP27A1/NPC2/LIPA	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0042632	cholesterol homeostasis	APOE/FABP4/CES1/TSPO/NPC2	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0006631	fatty acid metabolic process	APOC1/ALOX5AP/CES1/ALOX5/CD74/MGST3/SCD/GPX4/LIPA/ASAH1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:1905953	negative regulation of lipid localization	APOC1/CES1/TREM2/TSPO	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0019216	regulation of lipid metabolic process	APOC1/APOE/CES1/TREM2/CD74/TSPO/PSAP/NPC2/ASAH1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0033559	unsaturated fatty acid metabolic process	ALOX5/CD74/MGST3/SCD/GPX4	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0010887	negative regulation of cholesterol storage	CES1/TREM2	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0046890	regulation of lipid biosynthetic process	APOC1/APOE/CES1/CD74/TSPO/ASAH1	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0033700	phospholipid efflux	APOC1/APOE	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
GO:0070341	fat cell proliferation	TREM2/LIPA	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
