ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status
GO:0050873	brown fat cell differentiation	2/7	54/18870	1.6725391410898064e-4	0.002765027473673999	8.840296468022271e-4	RGS2/PTGS2	2	C8_Granulocytes_CCL4	GSE157344_Blood	Down
GO:0045444	fat cell differentiation	2/7	248/18870	0.0034588408865142703	0.0191965669201542	0.006137492099378706	RGS2/PTGS2	2	C8_Granulocytes_CCL4	GSE157344_Blood	Down
GO:0019216	regulation of lipid metabolic process	2/7	342/18870	0.006476090368601626	0.023202834514680245	0.007418368821329726	PTGS2/IL1B	2	C8_Granulocytes_CCL4	GSE157344_Blood	Down
GO:0006631	fatty acid metabolic process	2/7	401/18870	0.00881415365432469	0.026818676147352585	0.008574419251879985	PTGS2/IL1B	2	C8_Granulocytes_CCL4	GSE157344_Blood	Down
GO:0070542	response to fatty acid	1/7	56/18870	0.020592923173551436	0.04324513866445802	0.013826258517661847	PTGS2	1	C8_Granulocytes_CCL4	GSE157344_Blood	Down
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	1/9	15/18870	0.007133014644615576	0.04167604062022584	0.01763217103163401	ANXA1	1	C8_Granulocytes_CCL4	GSE157344_Blood	Up
GO:0045598	regulation of fat cell differentiation	2/10	146/18870	0.002568782853080098	0.04461119554849103	0.02136145740982397	CEBPB/SOD2	2	C9_Granulocytes_Immature_LTF	GSE157344_Blood	Down
GO:0006631	fatty acid metabolic process	2/4	401/18870	0.002627321560491392	0.026813133432995268	0.006641023760494184	ANXA1/MAPK14	2	C9_Granulocytes_Immature_LTF	GSE157344_Blood	Up
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	1/4	15/18870	0.003176113114667589	0.026996961474674508	0.0066865539256159776	ANXA1	1	C9_Granulocytes_Immature_LTF	GSE157344_Blood	Up
GO:0050873	brown fat cell differentiation	1/4	54/18870	0.011398601315747547	0.03764795177429762	0.009324570098897244	MAPK14	1	C9_Granulocytes_Immature_LTF	GSE157344_Blood	Up
GO:0097035	regulation of membrane lipid distribution	3/29	62/18870	1.1612313343163702e-4	0.014631514812386264	0.010313567771888814	ABCB1/ATP10A/MFSD2A	3	C5_Lymphatic endothelial_EFNA5	GSE159812	Up
GO:0006687	glycosphingolipid metabolic process	1/2	63/18870	0.0066662953788743096	0.022774653847798188	4.7629112264478614e-4	LARGE1	1	C2_Epithelial_Airway_CP	GSE159812	Down
GO:0097035	regulation of membrane lipid distribution	3/38	62/18870	2.625069273265429e-4	0.010865911741837972	0.008092318812322	ATP10A/ATP9A/MFSD2A	3	C4_Vascular endothelial_FLT1	GSE159812	Up
GO:0042362	fat-soluble vitamin biosynthetic process	2/49	13/18870	5.059153615434099e-4	0.0026919288727241366	0.0014262645880407936	IFNG/TNF	2	C9_CD4_Transitional memory_IL7R	GSE162086	Up
GO:0019216	regulation of lipid metabolic process	4/49	342/18870	0.011834617089002027	0.03480664572853013	0.018441603986678306	IFNG/TNF/NR4A3/CD74	4	C9_CD4_Transitional memory_IL7R	GSE162086	Up
GO:0045598	regulation of fat cell differentiation	3/12	146/18870	9.484349577664119e-5	0.002510856756613185	0.0013031128505599455	ZFP36L1/RORC/ID2	3	C7_CD4_Cytotoxic|Th1_GZMB	GSE162086	Down
GO:0045444	fat cell differentiation	3/12	248/18870	4.5196086404038563e-4	0.007839183262493585	0.004068468032015087	ZFP36L1/RORC/ID2	3	C7_CD4_Cytotoxic|Th1_GZMB	GSE162086	Down
GO:0042362	fat-soluble vitamin biosynthetic process	1/25	13/18870	0.01709225198767461	0.048653903995605735	0.023099503291997992	IFNG	1	C7_CD4_Cytotoxic|Th1_GZMB	GSE162086	Up
GO:1905952	regulation of lipid localization	5/84	183/18870	0.001350394605368102	0.015708001947204387	0.011211435027706896	APOE/APOC1/DAB2/DBI/TSPO	5	C5_Treg_CTLA4	GSE163005	Up
GO:0019216	regulation of lipid metabolic process	6/84	342/18870	0.0042143743479087035	0.03127158347643398	0.022319791373717625	APOE/APOC1/CD74/DAB2/TSPO/PSAP	6	C5_Treg_CTLA4	GSE163005	Up
GO:0090218	positive regulation of lipid kinase activity	1/6	26/18870	0.008239753842434583	0.049964084133668075	0.020408319802741402	TGFB1	1	C6_Plasma_MZB1	GSE164379	Down
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	1/2	15/18870	0.001589235327735694	0.01876896475382105	2.744000695003078e-4	FABP5	1	C2_Epithelial_Airway_CP	GSE164485	Up
GO:0019216	regulation of lipid metabolic process	1/2	342/18870	0.03592047622124983	0.04169802110627864	6.096201916122608e-4	FABP5	1	C2_Epithelial_Airway_CP	GSE164485	Up
GO:0006631	fatty acid metabolic process	1/2	401/18870	0.042050836488647825	0.04452441510562711	6.509417413103378e-4	FABP5	1	C2_Epithelial_Airway_CP	GSE164485	Up
GO:0006631	fatty acid metabolic process	21/466	401/18870	0.0010600814050190318	0.03595423130941571	0.031821929160677234	ADH7/AKR1C1/ALOX15/ANXA1/FMO2/GSTA1/HPGD/SCP2/CD36/AKR1C2/GSTP1/ALDH3A2/CYP2F1/NDUFAB1/PTGS1/XBP1/MGST3/PTGES3/GPX4/ECHDC1/ACSL4	21	C1_Sec_Secretory diff_IFITM3	GSE164547	Down
GO:0070542	response to fatty acid	6/364	56/18870	7.119524489942273e-4	0.005366713802779679	0.0038895941279852722	FFAR2/TLR2/PTGS2/PTAFR/ACSL1/DGAT2	6	C1_Sec_Secretory diff_IFITM3	GSE164547	Up
GO:0045444	fat cell differentiation	11/364	248/18870	0.008994733946615471	0.04458015012291293	0.032310031150342415	SOD2/FFAR2/ZFP36/CEBPB/RGS2/LRG1/PTGS2/CEBPD/FOSL2/STEAP4/SYAP1	11	C1_Sec_Secretory diff_IFITM3	GSE164547	Up
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	2/100	15/18870	0.0027910451170779825	0.015063011533920865	0.010517530297399127	CD74/IL1B	2	C10_Basal_Suprabasal_SERPINB4	GSE164547	Up
GO:0070542	response to fatty acid	3/43	56/18870	2.808542338218241e-4	0.009912099422931205	0.007412532795092046	CD36/HMGCS2/UCP2	3	C2_Sec_Goblet_S1OOP	GSE164547	Down
GO:0006631	fatty acid metabolic process	5/43	401/18870	0.0020944673917674115	0.03483556684928097	0.026050967679817294	ABHD2/ALOX15/CD36/ELOVL5/HPGD	5	C2_Sec_Goblet_S1OOP	GSE164547	Down
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	1/15	15/18870	0.01186194483025882	0.046701745054981265	0.020810429526769862	CD74	1	C7_Ciliated_Multiciliated_FOXJ1	GSE164547	Up
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	1/7	15/18870	0.005552016509527746	0.03237760122883012	0.012961455947203913	IL1B	1	C6_CD14 Monocytes_LYZ	GSE165080	Up
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	1/6	15/18870	0.0047606366086122565	0.02600338610239062	0.008634414897498981	IL1B	1	C7_CD16 Monocytes_CDKN1C	GSE165080	Up
GO:0010883	regulation of lipid storage	1/3	54/18870	0.008560963749758566	0.021708158079744935	0.0020919648260688227	NFKBIA	1	C1_CD4_Tn_SELL	GSE166992	Up
GO:0030301	cholesterol transport	1/3	128/18870	0.02021309997455678	0.03203075099389546	0.003086729154341298	NFKBIA	1	C1_CD4_Tn_SELL	GSE166992	Up
GO:1905952	regulation of lipid localization	1/3	183/18870	0.02881407422037352	0.03788517166012074	0.003650906090300739	NFKBIA	1	C1_CD4_Tn_SELL	GSE166992	Up
GO:0010883	regulation of lipid storage	1/6	54/18870	0.017049983210118413	0.04055460292121023	0.011024801173460027	NFKBIA	1	C2_CD8_Te_GZMA	GSE166992	Up
GO:0010883	regulation of lipid storage	1/4	54/18870	0.011398601315747547	0.029051302468453926	0.004671993087032065	NFKBIA	1	C5_CD8_Tn_SELL	GSE166992	Up
GO:0030301	cholesterol transport	1/4	128/18870	0.02686030001713169	0.04292561354404722	0.00690324194421812	NFKBIA	1	C5_CD8_Tn_SELL	GSE166992	Up
GO:1905952	regulation of lipid localization	3/20	183/18870	9.057945363332585e-4	0.017540783084548813	0.009852501974151233	THBS1/IL1B/NFKBIA	3	C11_iMo_CD14|CD16	GSE166992	Up
GO:0045444	fat cell differentiation	3/16	248/18870	0.0011065622864519407	0.04924202174711136	0.030357662727003902	NR4A2/NR4A3/INSIG1	3	C13_cDC_CD1C	GSE166992	Up
GO:0034368	protein-lipid complex remodeling	2/33	33/18870	0.0015137149016513796	0.03791838698131559	0.02640065015605527	PLA2G2A/PLTP	2	C3_Villous_IGFBP7	GSE171381	Up
GO:0010883	regulation of lipid storage	3/92	54/18870	0.0023239988574725	0.049214292386423754	0.03952283081153106	NFKBIA/MSR1/ABCA1	3	C8_Monocyte_FCN1	GSE171381	Down
GO:0034368	protein-lipid complex remodeling	4/48	33/18870	1.4281903569429587e-6	3.917027035075261e-4	2.721412506370874e-4	APOE/PLA2G2A/PLTP/APOC1	4	C17_APC_NFKBIA	GSE171381	Up
GO:0071825	protein-lipid complex organization	4/48	53/18870	9.845982641695665e-6	8.588095415877683e-4	5.966706397834918e-4	APOE/PLA2G2A/PLTP/APOC1	4	C17_APC_NFKBIA	GSE171381	Up
GO:0030301	cholesterol transport	4/48	128/18870	3.119549703838383e-4	0.009995833731873627	0.006944753428029906	APOE/CD36/PLTP/APOC1	4	C17_APC_NFKBIA	GSE171381	Up
GO:1905952	regulation of lipid localization	4/48	183/18870	0.0011937515261987567	0.0233479194604588	0.01622131260480607	APOE/CD36/PLTP/APOC1	4	C17_APC_NFKBIA	GSE171381	Up
GO:0042362	fat-soluble vitamin biosynthetic process	2/48	13/18870	4.8545435534592084e-4	0.015020528877173787	0.011151923581011556	PLTP/IFNG	2	C9_NK_GNLY	GSE171381	Up
GO:0019216	regulation of lipid metabolic process	7/88	342/18870	0.0010917364228839091	0.017715034608349344	0.012891937735144375	APOA1/IGFBP7/IRS2/EGR1/CCL21/ADM/PLCG2	7	C16_APC_MALAT1	GSE171381	Down
GO:1905952	regulation of lipid localization	7/41	183/18870	1.223938248304379e-7	1.7059986454505954e-5	1.1344865668885592e-5	PLTP/APOE/SPP1/DAB2/APOC1/CYP19A1/RETN	7	C16_APC_MALAT1	GSE171381	Up
GO:0034368	protein-lipid complex remodeling	3/41	33/18870	4.964289681617144e-5	0.0014447370238820914	9.607479763548578e-4	PLTP/APOE/APOC1	3	C16_APC_MALAT1	GSE171381	Up
GO:0071825	protein-lipid complex organization	3/41	53/18870	2.0681459016888245e-4	0.004010264162493486	0.0026668197153355893	PLTP/APOE/APOC1	3	C16_APC_MALAT1	GSE171381	Up
GO:0019216	regulation of lipid metabolic process	5/41	342/18870	8.329710200554984e-4	0.009844924151322605	0.006546859947102866	APOE/DAB2/RARRES2/APOC1/CGA	5	C16_APC_MALAT1	GSE171381	Up
GO:0030301	cholesterol transport	3/41	128/18870	0.0026923849555337965	0.023696806594449938	0.015758341210440438	PLTP/APOE/APOC1	3	C16_APC_MALAT1	GSE171381	Up
GO:0034368	protein-lipid complex remodeling	1/6	33/18870	0.010448455996526218	0.042778608936504835	0.015784749873571677	APOE	1	C12_T_CD4_SELL	GSE171381	Up
GO:0071825	protein-lipid complex organization	1/6	53/18870	0.016736459202849274	0.04803983660077106	0.01772607439937902	APOE	1	C12_T_CD4_SELL	GSE171381	Up
GO:0010885	regulation of cholesterol storage	3/65	19/18870	3.6339567394020133e-05	0.006746358646651793	0.005355614260273905	PPARG/LPL/ABCG1	3	C8_Macrophages_FCGR3A	GSE171524	Down
GO:0010878	cholesterol storage	3/65	25/18870	8.499010334351605e-5	0.010555770835264693	0.008379725978781758	PPARG/LPL/ABCG1	3	C8_Macrophages_FCGR3A	GSE171524	Down
GO:0045444	fat cell differentiation	6/65	248/18870	2.0952481844813803e-4	0.016362059540456036	0.012989063284651655	ZBTB7C/TCF7L2/FABP4/PPARG/LPL/ALOX5	6	C8_Macrophages_FCGR3A	GSE171524	Down
GO:0042632	cholesterol homeostasis	4/65	100/18870	3.923336994370059e-4	0.022841177564098186	0.018132527885164253	ACSM3/FABP4/LPL/ABCG1	4	C8_Macrophages_FCGR3A	GSE171524	Down
GO:0010883	regulation of lipid storage	3/65	54/18870	8.535377685707203e-4	0.03117923260484808	0.024751714444620477	PPARG/LPL/ABCG1	3	C8_Macrophages_FCGR3A	GSE171524	Down
GO:0045598	regulation of fat cell differentiation	4/65	146/18870	0.0016148134504498483	0.04121092408476804	0.03271539867169484	ZBTB7C/PPARG/LPL/ALOX5	4	C8_Macrophages_FCGR3A	GSE171524	Down
GO:0071825	protein-lipid complex organization	3/64	53/18870	7.723277157180691e-4	0.019675967995674615	0.013859314397346806	APOE/ABCA1/PLA2G7	3	C8_Macrophages_FCGR3A	GSE171524	Up
GO:0030301	cholesterol transport	4/64	128/18870	9.369975300812253e-4	0.022279719048598025	0.01569333874943058	APOE/ABCA1/EEPD1/CD36	4	C8_Macrophages_FCGR3A	GSE171524	Up
