category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	8/59	216/8964	7.690311926968102e-5	0.002045622972573515	0.0015056821246484918	HSP90B1/CCL2/HSPA5/XBP1/HSPD1/IRF7/CCL5/TNFSF10	8	C8_Plasma_IGHG1	GSE145926	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	5/128	51/8964	7.6207802205133e-4	0.006068399064482813	0.005080520147008867	APOC1/APOE/NCEH1/TSPO/VAPA	5	C3_Epithelial_TYROBP	GSE145926	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	5/30	216/8964	6.759504544410523e-4	0.006206454172595116	0.005045371813052831	CD14/CYBB/HSP90B1/NFKBIA/XBP1	5	C9_RBC_HBB	GSE150728	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	3/7	216/8964	4.495919918624262e-4	0.003474119937118748	0.0018069725988729092	CXCL8/ICAM1/IL1B	3	C4_Granulocytes_CD177	GSE157344_Blood	Down
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	2/7	157/8964	0.006041923912960027	0.019020871577837124	0.009893208746367297	CXCL8/IL1B	2	C4_Granulocytes_CD177	GSE157344_Blood	Down
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	2/4	157/8964	0.0017871214331816453	0.006960367687128513	0.0023762279443966475	CXCL8/IL1B	2	C7_Granulocytes_PI3	GSE157344_Blood	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/4	216/8964	0.0033586401491104445	0.009941574841366915	0.0033939942559431864	CXCL8/IL1B	2	C7_Granulocytes_PI3	GSE157344_Blood	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/5	216/8964	0.005508969116720576	0.022035876466882303	0.01115175934558821	CXCL8/CXCL1	2	C6_Granulocytes_ISG_IFIT1	GSE157344_Blood	Down
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	2/4	157/8964	0.0017871214331816453	0.0075689848934752035	0.002323811151505545	CXCL8/IL1B	2	C5_Granulocytes_resting_CXCL8	GSE157344_Blood	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	2/4	216/8964	0.0033586401491104445	0.010991913215270547	0.0033747101976707816	CXCL8/IL1B	2	C5_Granulocytes_resting_CXCL8	GSE157344_Blood	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	7/68	216/8964	0.0011922580513337628	0.023712687909860395	0.02063791714589438	NCF2/NCF1/SOD2/TLR2/LY96/LYN/CXCL8	7	C2_CD8_Te_PRF1	GSE157344_Blood	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	3/7	216/8964	4.495919918624262e-4	0.0025937999530524585	0.0012377431354916996	CXCL8/ICAM1/IL1B	3	C8_Granulocytes_CCL4	GSE157344_Blood	Down
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	2/7	157/8964	0.006041923912960027	0.01742862667200008	0.008316818341726352	CXCL8/IL1B	2	C8_Granulocytes_CCL4	GSE157344_Blood	Down
