ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status	TermID_revigo	Description_revigo
GO:0140353	lipid export from cell	3/131	47/18870	0.0042426399916764114	0.040121755970668284	0.03194155644588955	INHBA/RETN/TSPO	3	C6_Macrophages_RBM47	GSE145926	Down	GO:0030301	cholesterol transport
GO:0090205	positive regulation of cholesterol metabolic process	2/131	15/18870	0.004733405760883907	0.04300739256655117	0.0342388568002684	CES1/APOE	2	C6_Macrophages_RBM47	GSE145926	Down	GO:2001279	regulation of unsaturated fatty acid biosynthetic process
GO:0042632	cholesterol homeostasis	4/131	100/18870	0.005204803793297416	0.045536226021201005	0.03625210060228453	FABP4/CES1/APOE/TSPO	4	C6_Macrophages_RBM47	GSE145926	Down	GO:0042632	cholesterol homeostasis
GO:0010874	regulation of cholesterol efflux	3/131	54/18870	0.00626554398297095	0.04968697137953789	0.039556573797644115	TREM2/CES1/APOE	3	C6_Macrophages_RBM47	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0010883	regulation of lipid storage	3/131	54/18870	0.00626554398297095	0.04968697137953789	0.039556573797644115	TREM2/CES1/MSR1	3	C6_Macrophages_RBM47	GSE145926	Down	GO:0010883	regulation of lipid storage
GO:0010878	cholesterol storage	5/226	25/18870	1.030128266384052e-5	2.9268873770563387e-4	2.18261846107833e-4	MSR1/TREM2/PPARG/NPC2/LIPA	5	C2_Epithelial_CAPS	GSE145926	Down	GO:0010878	cholesterol storage
GO:0019915	lipid storage	8/226	94/18870	1.718929415888388e-5	4.589245173281326e-4	3.4222605612151764e-4	APOE/MSR1/TREM2/PPARG/PLIN2/NPC2/LIPA/HEXB	8	C2_Epithelial_CAPS	GSE145926	Down	GO:0010878	cholesterol storage
GO:0006869	lipid transport	17/226	453/18870	3.465642753908266e-5	7.812708424319988e-4	5.826039557112334e-4	FABP4/APOE/APOC1/RETN/MSR1/RBP4/TREM2/INHBA/TSPO/PPARG/PSAP/FABP5/PLIN2/SLCO2B1/NPC2/LIPA/DAB2	17	C2_Epithelial_CAPS	GSE145926	Down	GO:0030301	cholesterol transport
GO:0030301	cholesterol transport	8/226	128/18870	1.5594352252167702e-4	0.0025938482847271847	0.001934266824156295	APOE/APOC1/MSR1/TREM2/TSPO/PPARG/NPC2/LIPA	8	C2_Epithelial_CAPS	GSE145926	Down	GO:0030301	cholesterol transport
GO:0033344	cholesterol efflux	6/226	73/18870	2.4081924274135664e-4	0.003673976328916165	0.0027397325308505917	APOE/APOC1/TREM2/PPARG/NPC2/LIPA	6	C2_Epithelial_CAPS	GSE145926	Down	GO:0030301	cholesterol transport
GO:1905952	regulation of lipid localization	9/226	183/18870	3.710933955282223e-4	0.005130697526566538	0.0038260287114140973	APOE/APOC1/RETN/MSR1/TREM2/TSPO/PPARG/PLIN2/DAB2	9	C2_Epithelial_CAPS	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:1905954	positive regulation of lipid localization	7/226	111/18870	3.8103432522819543e-4	0.005221519049697882	0.0038937555172364278	APOE/RETN/MSR1/TREM2/PPARG/PLIN2/DAB2	7	C2_Epithelial_CAPS	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0010889	regulation of sequestering of triglyceride	3/226	15/18870	6.934932934994052e-4	0.008106842954515855	0.006045379549719691	TREM2/PPARG/PLIN2	3	C2_Epithelial_CAPS	GSE145926	Down	GO:0010885	regulation of cholesterol storage
GO:0030730	sequestering of triglyceride	3/226	18/18870	0.0012111696814289725	0.011758597189296326	0.008768540772331848	TREM2/PPARG/PLIN2	3	C2_Epithelial_CAPS	GSE145926	Down	GO:0010878	cholesterol storage
GO:0015909	long-chain fatty acid transport	5/226	67/18870	0.0012453742817775514	0.012015340033224539	0.0089599972920805	FABP4/APOE/PPARG/FABP5/PLIN2	5	C2_Epithelial_CAPS	GSE145926	Down	GO:0030301	cholesterol transport
