gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
COP1	0.706469736715686	-0.3032084186516951	0.118	0.128	1	C11_pDC_LILRA4
PTPRC	0.7089069264251113	-0.36024213788861426	0.618	0.615	1	C11_pDC_LILRA4
CD300A	0.7107590917430291	-0.4124901124276418	0.309	0.254	1	C11_pDC_LILRA4
SEC13	0.7144598132240187	-0.41791209236095506	0.324	0.299	1	C11_pDC_LILRA4
LAS1L	0.714765852704426	-0.28853488035380925	0.132	0.107	1	C11_pDC_LILRA4
LSM3	0.7155650161729297	-0.2941573027901552	0.397	0.349	1	C11_pDC_LILRA4
TMEM50A	0.7177818496056434	-0.3800332424455952	0.441	0.406	1	C11_pDC_LILRA4
TMEM14B	0.7187383264364036	-0.3854025634811422	0.485	0.397	1	C11_pDC_LILRA4
MDP1	0.7194039875368822	-0.2519902435250075	0.162	0.167	1	C11_pDC_LILRA4
SELENOF	0.7195974176243427	-0.2785697019340434	0.441	0.412	1	C11_pDC_LILRA4
PGD	0.7202506840034785	-0.31556220427732373	0.412	0.334	1	C11_pDC_LILRA4
ERH	0.7208621889271405	-0.5432790852559372	0.397	0.373	1	C11_pDC_LILRA4
STK40	0.7210411267370506	-0.37346363618695133	0.118	0.122	1	C11_pDC_LILRA4
SNRNP25	0.7231895463048567	-0.39114767028281916	0.324	0.322	1	C11_pDC_LILRA4
RALY	0.7236975916114627	-0.5509220464142052	0.426	0.397	1	C11_pDC_LILRA4
TPGS1	0.7243168126307307	-0.38342125252610626	0.162	0.17	1	C11_pDC_LILRA4
PSMA7	0.7252056229598748	-0.327558479540061	0.485	0.463	1	C11_pDC_LILRA4
SNRPC	0.7254854388258367	-0.35614268739120664	0.294	0.29	1	C11_pDC_LILRA4
NDUFS3	0.7255564385264432	-0.3035648885497946	0.324	0.272	1	C11_pDC_LILRA4
SSR1	0.7268684397553261	-0.33455504104667866	0.456	0.424	1	C11_pDC_LILRA4
ZDHHC6	0.7290249862360629	-0.2799860486156914	0.132	0.11	1	C11_pDC_LILRA4
PTGES3	0.7298907509581132	-0.25083120897221267	0.456	0.418	1	C11_pDC_LILRA4
PSMA2	0.7336387953363046	-0.32380745027026014	0.397	0.379	1	C11_pDC_LILRA4
SDHC	0.7339527022577212	-0.4182263961029428	0.265	0.263	1	C11_pDC_LILRA4
SLC9A3R1	0.7340032110333565	-0.5763015008708566	0.279	0.272	1	C11_pDC_LILRA4
